nct_id,brief_title,sponsor,start_date,primary_outcomes,start_year,period,outcome_categories,num_categories
NCT03401138,Hemodynamic Monitoring and Resuscitation in Hip Fractures,Hvidovre University Hospital,2018-02-14,Proportion of patients presenting with preoperative hypovolemia/reduced BV before and after epidural anesthesia | Proportion of patients with low/very low PPI (PII<1.4 and < 0.5) before and after epidural anesthesia | Proportion of patients who respond to a 250 ml fluid challenge with sustained rise in SV by at least 10%,2018,2015-2019,,0
NCT07438249,GDFT and Postoperative Cognitive Function in Geriatric Cancer Surgery,Dr Abdurrahman Yurtaslan Ankara Oncology Training and Research Hospital,2024-12-01,Change in Postoperative Cognitive Function (MMSE Scores),2024,2020-2025,Delirium / cognitive,1
NCT06097052,Hypotension Predictive Index Effect on Intraoperative Hypotension During Pancreatic Surgery.,Istituto Clinico Humanitas,2023-05-23,Time-weighted average of Mean Arterial Pressure < 65mmHg,2023,2020-2025,Hypotension exposure,1
NCT07214714,Hemodynamic and Cardiac Effects of Dexmedetomidine Versus Fentanyl by Intravenous Infusion as Adjuncts to General Anesthesia in Patients Undergoing Major Abdominal Cancer Surgeries.,Assiut University,2025-11-01,cardiac output (CO),2025,2020-2025,Cardiac outcomes,1
NCT04655885,Cardiac Output Optimization on Postoperative Complications in Major Hepatic Surgery,Institut Paoli-Calmettes,2022-02-03,Evaluation of the cardiac output optimization strategy on the occurrence of postoperative complications,2022,2020-2025,Postoperative complications; Cardiac outcomes,2
NCT06993740,Effect of Dexmedetomidine on Microsurgery Reconstruction in Cancer Patient,Dharmais National Cancer Center Hospital,2025-06-10,Flap Viability Score,2025,2020-2025,,0
NCT03663270,Hypotension Probability Index in Anesthesia,University of Giessen,2017-06-22,Episode of hypotension,2017,2015-2019,Hypotension exposure,1
NCT03410069,Monitoring Tissue Perfusion in Critically Ill or High-risk Surgical Patients,Advanced Perfusion Diagnostics,2018-08-03,Incidence of complications,2018,2015-2019,Postoperative complications,1
NCT02717468,Comparative Noninvasive Continuous Cardiac Output by the Clearsight With Invasive Monitoring by Pulsioflex in Abdominal Surgery,Poitiers University Hospital,2016-02,Stroke Ejection Volume (SEV) measure by ClearSight® | Stroke Ejection Volume (SEV) measure by Pulsioflex®,2016,2015-2019,,0
NCT04021823,Neurobiological Analyses Within the FORESEE III Study,University Hospital Freiburg,2019-08-01,Change from baseline in DNA methylation patterns in plasma at 1 month of deep brain stimulation (DBS) | Change from baseline in DNA methylation patterns in plasma at 4 month of deep brain stimulation (DBS) | Change from baseline in DNA methylation patterns in plasma at 12 month of deep brain stimulation (DBS) | Change from baseline in neuroinflammatory and neuropeptide patterns at 1 month of deep brain stimulation (DBS) | Change from baseline in neuroinflammatory and neuropeptide patterns at 4 month of deep brain stimulation (DBS) | Change from baseline in neuroinflammatory and neuropeptide patterns at 12 month of deep brain stimulation (DBS) | Change from baseline in transcriptome profiles at 1 month of deep brain stimulation (DBS) | Change from baseline in exosomal Micro-RNA (miR) expression levels and transcriptome profiles at 4 month of deep brain stimulation (DBS) | Change from baseline in exosomal Micro-RNA (miR) expression levels and transcriptome profiles at 12 month of deep brain stimulation (DBS) | Change from baseline in plasma levels of Neurofilament light protein at 2 days before surgical device implantation | Change from baseline in plasma levels of Neurofilament light protein at 1 month of deep brain stimulation (DBS) | Change from baseline in plasma levels of Neurofilament light protein at 4 month of deep brain stimulation (DBS) | Change from baseline in plasma levels of Neurofilament light protein at 12 month of deep brain stimulation (DBS) | Change from baseline in metabolite profiles in plasma and urine at 1 month of deep brain stimulation (DBS) | Change from baseline in metabolite profiles in plasma and urine at 4 month of deep brain stimulation (DBS) | Change from baseline in metabolite profiles in plasma and urine at 12 month of deep brain stimulation (DBS) | Change from baseline in insuline resistance at week 41 | Change from baseline in systemic metabolic parameters at week 41 | Cardiac stroke volume (ml) | Non-invasive blood pressure (mmHG) | Cardiac stroke volume variation (%) | Systemic vascular resistance (mmHg⋅min⋅mL-1),2019,2015-2019,Hypotension exposure; Cardiac outcomes; Goal-directed therapy protocol,3
NCT05543824,Hemodynamic Impact of Epidural Anesthesia in Relation to Age in Pediatric Patients.,Hospital Universitario La Fe,2022-09-12,Hemodynamic repercussion | Age related repercussion,2022,2020-2025,,0
NCT06007196,Evaluation of Non-invasive Continuous Hemodynamic Measurement From Task Force CORE,Medical University of Vienna,2023-09-01,Difference in intraoperative cardiac output measurements between Task Force CORE compared with thermodilution during surgery,2023,2020-2025,Cardiac outcomes,1
NCT06120296,Hypotension Prediction Index for Shoulder Surgery in Beach Chair.,Geertrui Dewinter,2023-06-30,Time-weighted average MAP< than 65 mmHg,2023,2020-2025,Hypotension exposure,1
